05:31:02  |  Platform  |  Info  |  * Initialise: RenderManager  |  /home/andres/repo/my-gui/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreRenderManager.cpp  |  43
05:31:02  |  Platform  |  Info  |  RenderManager successfully initialized  |  /home/andres/repo/my-gui/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreRenderManager.cpp  |  71
05:31:02  |  Platform  |  Info  |  * Initialise: DataManager  |  /home/andres/repo/my-gui/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreDataManager.cpp  |  27
05:31:02  |  Platform  |  Info  |  DataManager successfully initialized  |  /home/andres/repo/my-gui/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreDataManager.cpp  |  35
05:31:02  |  Core  |  Info  |  * Initialise: Gui  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_Gui.cpp  |  61
05:31:02  |  Core  |  Info  |  * MyGUI version 3.2.0.5305  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_Gui.cpp  |  68
05:31:02  |  Core  |  Info  |  * Initialise: ResourceManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  32
05:31:02  |  Core  |  Info  |  ResourceManager successfully initialized  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  40
05:31:02  |  Core  |  Info  |  * Initialise: LayerManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  33
05:31:02  |  Core  |  Info  |  LayerManager successfully initialized  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  41
05:31:02  |  Core  |  Info  |  * Initialise: WidgetManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  53
05:31:02  |  Core  |  Info  |  WidgetManager successfully initialized  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  84
05:31:02  |  Core  |  Info  |  * Initialise: InputManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_InputManager.cpp  |  46
05:31:02  |  Core  |  Info  |  InputManager successfully initialized  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_InputManager.cpp  |  66
05:31:02  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  36
05:31:02  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  56
05:31:02  |  Core  |  Info  |  * Initialise: SkinManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  36
05:31:02  |  Core  |  Info  |  SkinManager successfully initialized  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  46
05:31:02  |  Core  |  Info  |  * Initialise: FontManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_FontManager.cpp  |  32
05:31:02  |  Core  |  Info  |  FontManager successfully initialized  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_FontManager.cpp  |  42
05:31:02  |  Core  |  Info  |  * Initialise: ControllerManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  32
05:31:02  |  Core  |  Info  |  ControllerManager successfully initialized  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_ControllerManager.cpp  |  40
05:31:02  |  Core  |  Info  |  * Initialise: PointerManager  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  43
05:31:02  |  Core  |  Info  |  PointerManager successfully initialized  |  /home/andres/repo/my-gui/MyGUIEngine/src/MyGUI_PointerManager.cpp  |  62
